Day,Order sumary,,,Totals
Sunday,Item,Quantity,Total,"$2,057.95"
,501,19,$123.50,
,502,23,$126.50,
,503,32,$144.00,
,504,16,$40.00,
,505,13,$65.00,
,506,22,$704.00,
,507,26,$195.00,
,508,28,$133.00,
,509,20,$115.00,
,510,29,$108.75,
,511,16,$72.00,
,512,7,$24.50,
,513,22,$2.20,
,514,38,$57.00,
,515,18,$9.00,
,516,16,$24.00,
,517,18,$31.50,
,518,20,$25.00,
,519,29,$58.00,
,,,,
Monday,Item,Quantity,Total,"$2,167.35"
,501,20,$130.00,
,502,18,$99.00,
,503,16,$72.00,
,504,17,$42.50,
,505,22,$110.00,
,506,20,$640.00,
,507,16,$120.00,
,508,18,$85.50,
,509,14,$80.50,
,510,38,$142.50,
,511,20,$90.00,
,512,29,$101.50,
,513,16,$1.60,
,514,92,$138.00,
,515,26,$13.00,
,516,18,$27.00,
,517,57,$99.75,
,518,18,$22.50,
,519,76,$152.00,
,,,,
Tuesday,Item,Quantity,Total,"$2,423.95"
,501,32,$208.00,
,502,38,$209.00,
,503,30,$135.00,
,504,30,$75.00,
,505,38,$190.00,
,506,25,$800.00,
,507,22,$165.00,
,508,29,$137.75,
,509,20,$115.00,
,510,18,$67.50,
,511,16,$72.00,
,512,18,$63.00,
,513,12,$1.20,
,514,10,$15.00,
,515,18,$9.00,
,516,22,$33.00,
,517,26,$45.50,
,518,20,$25.00,
,519,29,$58.00,
,,,,
Wednesday,Item,Quantity,Total,"$1,949.65"
,501,15,$97.50,
,502,18,$99.00,
,503,42,$189.00,
,504,45,$112.50,
,505,12,$60.00,
,506,8,$256.00,
,507,26,$195.00,
,508,28,$133.00,
,509,20,$115.00,
,510,18,$67.50,
,511,38,$171.00,
,512,30,$105.00,
,513,19,$1.90,
,514,20,$30.00,
,515,26,$13.00,
,516,42,$63.00,
,517,37,$64.75,
,518,26,$32.50,
,519,72,$144.00,
,,,,
Thursday,Item,Quantity,Total,"$4,092.70"
,501,72,$468.00,
,502,70,$385.00,
,503,59,$265.50,
,504,50,$125.00,
,505,18,$90.00,
,506,20,$640.00,
,507,48,$360.00,
,508,28,$133.00,
,509,105,$603.75,
,510,57,$213.75,
,511,23,$103.50,
,512,18,$63.00,
,513,127,$12.70,
,514,126,$189.00,
,515,59,$29.50,
,516,9,$13.50,
,517,82,$143.50,
,518,72,$90.00,
,519,82,$164.00,
,,,,
Friday,Item,Quantity,Total,"$2,550.90"
,501,26,$169.00,
,502,25,$137.50,
,503,27,$121.50,
,504,31,$77.50,
,505,26,$130.00,
,506,20,$640.00,
,507,38,$285.00,
,508,19,$90.25,
,509,18,$103.50,
,510,79,$296.25,
,511,29,$130.50,
,512,37,$129.50,
,513,109,$10.90,
,514,16,$24.00,
,515,11,$5.50,
,516,31,$46.50,
,517,34,$59.50,
,518,16,$20.00,
,519,37,$74.00,
,,,,
Saturday,Item,Quantity,Total,"$5,280.15"
,501,73,$474.50,
,502,67,$368.50,
,503,52,$234.00,
,504,55,$137.50,
,505,90,$450.00,
,506,56,$1792.00,
,507,44,$330.00,
,508,53,$251.75,
,509,49,$281.75,
,510,42,$157.50,
,511,39,$175.50,
,512,42,$147.00,
,513,99,$9.90,
,514,87,$130.50,
,515,96,$48.00,
,516,52,$78.00,
,517,28,$49.00,
,518,55,$68.75,
,519,48,$96.00,
