Day,Order sumary,,,Totals
Sunday,Item,Quantity,Total,"$5,674.75"
,501,40,$260.00,
,502,38,$209.00,
,503,36,$162.00,
,504,22,$55.00,
,505,87,$435.00,
,506,109,$3488.00,
,507,20,$150.00,
,508,6,$28.50,
,509,75,$431.25,
,510,8,$30.00,
,511,10,$45.00,
,512,8,$28.00,
,513,225,$22.50,
,514,27,$40.50,
,515,78,$39.00,
,516,35,$52.50,
,517,72,$126.00,
,518,26,$32.50,
,519,20,$40.00,
,,,,
Monday,Item,Quantity,Total,"$1,503.55"
,501,26,$169.00,
,502,20,$110.00,
,503,24,$108.00,
,504,18,$45.00,
,505,7,$35.00,
,506,2,$64.00,
,507,29,$217.50,
,508,8,$38.00,
,509,52,$299.00,
,510,28,$105.00,
,511,12,$54.00,
,512,3,$10.50,
,513,68,$6.80,
,514,24,$36.00,
,515,29,$14.50,
,516,12,$18.00,
,517,27,$47.25,
,518,56,$70.00,
,519,28,$56.00,
,,,,
Tuesday,Item,Quantity,Total,"$1,768.70"
,501,32,$208.00,
,502,28,$154.00,
,503,36,$162.00,
,504,18,$45.00,
,505,7,$35.00,
,506,1,$32.00,
,507,29,$217.50,
,508,8,$38.00,
,509,65,$373.75,
,510,30,$112.50,
,511,7,$31.50,
,512,4,$14.00,
,513,72,$7.20,
,514,62,$93.00,
,515,22,$11.00,
,516,29,$43.50,
,517,37,$64.75,
,518,56,$70.00,
,519,28,$56.00,
,,,,
Wednesday,Item,Quantity,Total,"$1,955.05"
,501,40,$260.00,
,502,30,$165.00,
,503,35,$157.50,
,504,28,$70.00,
,505,5,$25.00,
,506,3,$96.00,
,507,36,$270.00,
,508,18,$85.50,
,509,57,$327.75,
,510,28,$105.00,
,511,4,$18.00,
,512,9,$31.50,
,513,88,$8.80,
,514,43,$64.50,
,515,28,$14.00,
,516,16,$24.00,
,517,30,$52.50,
,518,72,$90.00,
,519,45,$90.00,
,,,,
Thursday,Item,Quantity,Total,"$2,719.00"
,501,52,$338.00,
,502,59,$324.50,
,503,40,$180.00,
,504,36,$90.00,
,505,5,$25.00,
,506,3,$96.00,
,507,45,$337.50,
,508,22,$104.50,
,509,78,$448.50,
,510,45,$168.75,
,511,16,$72.00,
,512,18,$63.00,
,513,135,$13.50,
,514,82,$123.00,
,515,33,$16.50,
,516,12,$18.00,
,517,65,$113.75,
,518,82,$102.50,
,519,42,$84.00,
,,,,
Friday,Item,Quantity,Total,"$3,043.90"
,501,36,$234.00,
,502,38,$209.00,
,503,32,$144.00,
,504,28,$70.00,
,505,16,$80.00,
,506,22,$704.00,
,507,46,$345.00,
,508,12,$57.00,
,509,75,$431.25,
,510,45,$168.75,
,511,19,$85.50,
,512,18,$63.00,
,513,199,$19.90,
,514,76,$114.00,
,515,35,$17.50,
,516,16,$24.00,
,517,52,$91.00,
,518,80,$100.00,
,519,43,$86.00,
,,,,
Saturday,Item,Quantity,Total,"$4,096.25"
,501,72,$468.00,
,502,72,$396.00,
,503,55,$247.50,
,504,30,$75.00,
,505,26,$130.00,
,506,22,$704.00,
,507,58,$435.00,
,508,32,$152.00,
,509,115,$661.25,
,510,56,$210.00,
,511,8,$36.00,
,512,4,$14.00,
,513,165,$16.50,
,514,67,$100.50,
,515,45,$22.50,
,516,26,$39.00,
,517,72,$126.00,
,518,116,$145.00,
,519,59,$118.00,
